SKU,ProductDescription,ProductMetaTitle,ProductMetaDescription,SEOKeywords
ALL01-4300,All you want for Christmas is a new pair of socks – and chances are high you get them from some estranged uncle or auntie who has no better gift idea.,All I Want For Christmas Sock | Happy Socks,All you want for Christmas is a new pair of socks – and chances are high you get them from some estranged uncle or auntie who has no better gift idea.…,"shop holiday gift set, christmas gifts, christmas gift idea, christmas gift suggestions, christmas socks, christmas stockings, socks of christmas, socks xmas, secret santa gifts, gifts to give for secret santa, christmas present"
APP01-9001-001,"Do you love fruit? Or, more specifically apples? The Apple sock will be the style for you then, won’t it? Enjoy apples – many many delicious apples – but in nice, bright, Happy Socks colors. Yum, apples! ",Black Sock: Apple | Happy Socks,"Do you love fruit? Or, more specifically apples? The Apple sock will be the style for you then, won’t it? Enjoy apples – many many delicious apples – bu…","colorful socks, black sock, fun socks, comfiest mens socks, funky socks, fun socks for men, novelty socks"
ART34-2300,"But is it art? You decide. These Art socks are inspired by Marcel Duchamp’s Fountain sculpture, the piece that’s delighted, annoyed and confused art lovers since its debut in 1917. The urinal pattern comes in vibrant yellow, bringing new life to an old icon. These longer-length socks are cozy to wear thanks to their composition of mercerized cotton. Available in sizes 39 to 42 and 43 to 46.",Yellow suit socks: Art - Dressed | Happy Socks,"But is it art? You decide. These Art socks are inspired by Marcel Duchamp’s Fountain sculpture, the piece that’s delighted, annoyed and confused art lov…","colorful socks, socks color, marcel duchamp, fun socks, duchamp creative act"
ATALI14-9300,"They come in peace (and style). These Athletic Alien mid high socks are ready to invade your wardrobe. Featuring a comfy ribbed design in black, yellow and blue, these retro-inspired socks make a great gift for fashion and sci-fi lovers. Available in unisex sizes.",Black sport socks: Alien - ATHLETIC | Happy Socks,"They come in peace (and style). These Athletic Alien mid high socks are ready to invade your wardrobe. Featuring a comfy ribbed design in black, yellow …","running socks, football socks, football sports socks, men's compression socks, soccer socks, long sport socks, sport socks, best running socks, skiing socks"
ATANI27-0100,"Cool cats and cat lovers alike will love these Athletic Animal socks. Featuring a bold leopard print with green, red and black detail, this eye-catching style will take a tame outfit and make it roar. Run, walk or strut, the slickest animal in the kingdom approves. Made of a comfortable cotton and elastane blend, and available in unisex sizes.",Green sport socks: Animal - ATHLETIC | Happy Socks,"Cool cats and cat lovers alike will love these Athletic Animal socks. Featuring a bold leopard print with green, red and black detail, this eye-catching…","running socks, running in socks, football socks, football sports socks, sports socks football, men's compression socks, men's compression stockings, soccer socks, long sport socks, soccer stockings, sport socks long, sport socks, best running socks"
ATFLA27-1300,"Add a little electricity to your look with these Athletic Flash socks in white, blue and green. This vintage, low voltage style will add power to any outfit thanks to its versatile design. Available in sizes 9 to 11 and 10 to 13.",White sport socks: Flash - ATHLETIC | Happy Socks,"Add a little electricity to your look with these Athletic Flash socks in white, blue and green. This vintage, low voltage style will add power to any ou…",gym clothes
BAB01-3300-660,"The Banana Bird sock. It’s the hero you never knew you needed. This odd flying fruit animal is unlikely to save your life anytime soon, but it could just save your sock drawer. ",Pink Sock: Banana Bird | Happy Socks,"The Banana Bird sock. It’s the hero you never knew you needed. This odd flying fruit animal is unlikely to save your life anytime soon, but it could jus…","colorful socks, funny socks, pink sock, personalized socks, fun socks for men, novelty socks"
BAU01-6300-424,"Christmas socks at their best! Enjoy your holiday with this classic decorative print in red, green and blue.",Bauble Sock,"Christmas socks at their best! Enjoy your holiday with this classic decorative print in red, green and blue.…",red socks
BDS01-4300,"No energy to build a snowman with the kids? Well, you can at least offer them a decent substitute with our print. Available in matching print for adults.",Red Big Dot Snowman Crew Sock | Happy Socks,"No energy to build a snowman with the kids? Well, you can at least offer them a decent substitute with our print. Available in matching print for adults…","christmas socks, socks of christmas, socks xmas, socks for xmas, socks and christmas, fuzzy stockings, personalized christmas socks"
CHG01-4300-610,"Wrap yourself in festive cheer with the Christmas Gift sock. The perfect present for your loved ones, or even a treat for yours truly – it’s sure to spread seasonal joy like butter.",Holiday Gift by Happy Socks: Christmas Gift Sock,"Wrap yourself in festive cheer with the Christmas Gift sock. The perfect present for your loved ones, or even a treat for yours truly – it’s sure to spr…","christmas decorations, shop holiday gift set, christmas gift, secret santa"
DOT01-0100-070,"The Dot sock. Make a statement. Then Punctuate it. Like the period ending this sentence, except there’s hundreds of them. Dots are classic. Dots mean business. Nobody argues with dots.",White Sock: Dot | Happy Socks,"The Dot sock. Make a statement. Then Punctuate it. Like the period ending this sentence, except there’s hundreds of them. Dots are classic. Dots mean bu…","white sock, dress socks, dot socks"
FLM01-9300-007,Add some sizzle to your sock drawer. These eye-catching Flame socks in black come with a vibrant blue and orange fire design – great for livening up a plain outfit. Crafted from combed cotton in unisex sizes.,Patterned Black Socks: Flames | Happy Socks,Add some sizzle to your sock drawer. These eye-catching Flame socks in black come with a vibrant blue and orange fire design – great for livening up a p…,"fun socks, funky socks, fun socks for men, novelty socks, fun socks for women, silly socks for women, fun dress socks for women, womens quirky socks, silly socks, mens novelty socks"
GHO01-6300,Sweet & spicy – a holiday classic print has landed.,Gingerbread House Sock | Happy Socks,Sweet & spicy – a holiday classic print has landed.…,"christmas socks, socks of christmas, socks xmas, christmas stockings stuffers, christmas stocking, socks for xmas, socks and christmas, personalized christmas socks"